CD_SISTEMA	CLCLI_CD	DT	ID	CD	RFTP_CD	NM	RFTP_CD_ADELIC	CD_LASTRO	IC_PUB_PRIV	DS_PRIVADO_PUBLICO	BAINS_CD	DT_EMISSAO	DT_VENCIMENTO	IDDIR_CD	IDDIR_PC	IC_PRE_POS	DS_PREPOS	BACEN_CD	SG_BACEN	DS_TP_BACEN	TP_CAIXA	SG_LOCAL_CUSTODIA	VL_JUROS_EMISSAO	VL_PU_EMISSAO	NO_COMANDO	VL_JUROSOPER	DT_EMISSAO_ADELIC	DT_VENCIMENTO_ADELIC	VL_JUROSGER	VL_FEEGER	QT	VL_PU_OPERACAO	SG_OPERACAO	DS_TP_TRANSACAO	VL_BRUTO	VL_IRRF	VL_IOF	VL_LIQ	CD_LIQUIDANTE	CD_INST	DS_TIPO_LIQ_FIN	IC_NEG_VENC	DT_LIQ_VENDA_TERMO	IC_ATIVO_PASSIVO
LZ	INTRAGKINE195	27/07/2026	27066036	J395334	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	735633	397.817					2	1	J	PAGAMENTO DE JUROS	2	0	0	6	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066037	J395334	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	735633	397.817					2	1	M	PAGAMENTO DE CORRECAO MONETARIA	2	0	0	6	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066038	J631292	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	736716	397.817					1	3	J	PAGAMENTO DE JUROS	3	0	0	3	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066039	J631292	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	736716	397.817					1	3	M	PAGAMENTO DE CORRECAO MONETARIA	3	0	0	3	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066040	J631389	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	736720	397.817					1	3	J	PAGAMENTO DE JUROS	3	0	0	3	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066041	J631389	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	736720	397.817					1	3	M	PAGAMENTO DE CORRECAO MONETARIA	3	0	0	3	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066042	J825052	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	712408	397.817					19	3	J	PAGAMENTO DE JUROS	57	0	0	57	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27066043	J825052	DEBNC	DEBENTURES SIMPLES		4918952	I	PRIVADO	VERT SEC	01/01/2000	01/01/21000	CDI D-2	100	O	POS	3F17	3	VALORES IMOBILIARIOS	NAO CLASSIFICADO	CETIP-SND	3,9	1000	712408	397.817					19	3	M	PAGAMENTO DE CORRECAO MONETARIA	57	0	0	57	VERT SEC			N	0	
LZ	INTRAGKINE195	27/07/2026	27070323	J894300	LFT O	LFT OVER	LFT	5198439	U	PUBLICO	TESOURO	01/01/2000	01/01/21000	PRE	100	E	PRE	1A02	1	TITULOS PUBLICOS	NAO CLASSIFICADO	SELIC	14,9	1000	259024	0					11311	1.768.173	C	COMPRA	2.000.000,00	0	0	2.000.000,00	XP		SELIC	N	0	
LZ	INTRAGKINE195	27/07/2026	27070326	J894313	LFT O	LFT OVER	LFT	5198441	U	PUBLICO	TESOURO	01/01/2000	01/01/21000	PRE	100	E	PRE	1A02	1	TITULOS PUBLICOS	NAO CLASSIFICADO	SELIC	14,9	1000	222046	0					14069	1.776.943	C	COMPRA	2.500.000,00	0	0	2.500.000,00	XP		SELIC	N	0	
